fecha,sector,actividad,devengado
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,39783.57
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,40085.82
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,40898.89
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,42942.09
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,43016.07
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,44451.40
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,44788.29
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,45168.76
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,45431.84
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,48052.42
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,48695.60
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,51614.61
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,54455.34
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,58628.01
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,64201.78
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,65329.98
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,65977.77
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,66520.74
2026-08-12,ADMINISTRACION GENERAL,ADMINISTRACION SUPERIOR EJECUTIVA,68197.33
